                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     88,                0.84341,                0.69413,                0.92738,                0.87777,                0.78074,                0.82388,                0.67879,                0.71155,                0.55057,                 0.8915,               5.34e-05,               5.34e-05,               5.34e-05
                     89,                0.80907,                0.70207,                0.91936,                0.87702,                0.78143,                0.82729,                0.68038,                0.71165,                0.55115,                0.89147,             4.9588e-05,             4.9588e-05,             4.9588e-05
                     90,                0.73661,                 4.9353,                 0.8387,                0.87781,                0.78042,                0.82749,                0.68045,                0.71161,                0.55024,                 0.8913,             4.5776e-05,             4.5776e-05,             4.5776e-05
                     91,                0.81933,                0.69831,                0.91691,                0.88013,                0.78095,                0.82723,                0.67805,                0.71611,                0.55441,                0.89115,             4.1965e-05,             4.1965e-05,             4.1965e-05
                     92,                0.75038,                 1.8523,                0.85574,                0.88149,                0.77633,                0.82624,                0.67501,                0.72426,                0.56249,                0.89202,             3.8153e-05,             3.8153e-05,             3.8153e-05
                     93,                0.79944,                0.74153,                0.92354,                0.89413,                0.76927,                0.82317,                0.66987,                0.72948,                0.56807,                0.89284,             3.4342e-05,             3.4342e-05,             3.4342e-05
                     94,                0.79596,                0.69392,                0.90833,                0.89413,                0.76927,                0.82317,                0.66987,                0.72948,                0.56807,                0.89284,              3.053e-05,              3.053e-05,              3.053e-05
                     95,                0.82137,                0.79004,                0.90712,                0.89458,                0.76628,                0.82481,                0.67128,                0.73334,                  0.574,                0.89348,             2.6719e-05,             2.6719e-05,             2.6719e-05
                     96,                0.80304,                0.67448,                0.90181,                0.84983,                0.77997,                 0.8154,                 0.6675,                0.73505,                0.57685,                0.89405,             2.2908e-05,             2.2908e-05,             2.2908e-05
                     97,                0.77203,                 4.2599,                0.84155,                0.85938,                0.77116,                 0.8114,                0.66417,                 0.7366,                0.57982,                0.89367,             1.9096e-05,             1.9096e-05,             1.9096e-05
                     98,                0.82389,                0.67996,                0.92384,                0.86514,                0.77408,                0.81205,                0.66555,                0.73518,                0.57662,                0.89374,             1.5285e-05,             1.5285e-05,             1.5285e-05
                     99,                0.78217,                0.66606,                0.90531,                0.86264,                0.77311,                0.81434,                0.66473,                0.73459,                0.57672,                0.89346,             1.1473e-05,             1.1473e-05,             1.1473e-05
                    100,                0.80294,                0.67015,                0.91007,                0.86411,                 0.7758,                0.81716,                0.66817,                0.73083,                0.57309,                0.89269,             7.6615e-06,             7.6615e-06,             7.6615e-06
